,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,0,Mississippi,1,0.002059806411675983,0.25337331334332835,6099.661470961444,36410.0,56615,1792.0,-2671.615890357895,-0.0009021831074876413,71028.0,14870.938832280786,0.005021795930839609
1,1,Mississippi,2,0.001209902331443038,0.14954757334795724,3582.8583661533085,32837.0,19089,-971.0,-1473.0459935944302,-0.0004974357342197173,66645.0,8638.762725901044,0.0029172403971057925
2,2,Mississippi,3,0.0029336268096048935,0.13006380198324238,8687.287465119969,53042.0,10152,863.0,1900.6883414363658,0.0006418471010115446,105221.0,15473.886588803576,0.005225406518198243
3,3,Mississippi,4,0.0013141788245308909,0.11778920401896836,3891.6501553280123,58917.0,6483,-988.0,-3164.512111428289,-0.0010686301802120938,118822.0,10947.81242208431,0.0036969878292738745
4,4,Mississippi,5,0.0011259859968721028,0.12250790305584826,3334.3586868314237,72813.0,5813,-3188.0,-5976.364453316098,-0.002018170004689223,148814.0,12645.081826978949,0.0042701419984334296
5,5,Mississippi,6,0.0010240362669270977,0.07820150199941481,3032.457092489609,91266.0,4009,-2299.0,-4284.466442085636,-0.001446829711785224,184831.0,10349.380627064851,0.0034949022456394183
6,6,Mississippi,7,0.0032899102186549145,0.3623636577536512,9742.342042388207,95982.0,21561,-852.0,-25346.780392528846,-0.008559403012187924,192816.0,44831.46447730527,0.015139223449497759
7,7,Mississippi,8,0.004991909680593136,0.36942935159535045,14782.43730703716,77340.0,93217,-753.0,-14067.409047098541,-0.004750450412507076,155433.0,43632.28366117287,0.01473426977369335
8,8,Mississippi,9,0.004045179537162485,0.30407572410866934,11978.905214628987,85775.0,48733,-1309.0,-14501.225143650376,-0.004896946604372765,172859.0,38459.03557290835,0.012987305678697736
9,9,Mississippi,10,0.002227178083860804,0.15257319512638662,6595.295688997237,93022.0,15102,-579.0,-7685.707948027681,-0.002595401496457335,186623.0,20876.299326022152,0.007049757664178941
